code;url;product_name;brands;stores;traces_fr;nutrition_grade_fr;main_category_fr;energy_100g;fat_100g;saturated-fat_100g;carbohydrates_100g;sugars_100g;fiber_100g;proteins_100g;salt_100g;countries_fr
568364;http://world-fr.openfoodfacts.org/produit/00568364/fairtrade-cocoa-powder-marks-spencer;Fairtrade Cocoa Powder;Marks & Spencer;Marks & Spencer;Lait;e;Petit-déjeuners;1556.0;21.0;13.2;13.6;2.3;28.5;18.0;0.04;France
64100111257;http://world-fr.openfoodfacts.org/produit/0064100111257/all-bran-multi-grain-crunch-avec-un-soupcon-de-saveur-naturelle-d-erable-kellogg-s;All-Bran Multi-grain Crunch avec un soupçon de saveur naturelle d'érable;Kellogg's,All Bran;;;c;Petit-déjeuners;1480.0;4.41;1.18;82.4;23.5;17.6;8.82;0.441;France
64100589940;http://world-fr.openfoodfacts.org/produit/0064100589940/cereales-rice-krispies-kellogs;Céréales rice krispies;Kellogs;;;d;Petit-déjeuners;1640.0;0.0;0.0;89.3;10.7;0.0;7.14;1.72;France
64100788480;http://world-fr.openfoodfacts.org/produit/0064100788480/mini-wheats-centres-saveur-framboise-kellogg-s;Mini-Wheats centres Saveur Framboise;Kellogg's;;;a;Petit-déjeuners;1450.0;1.82;0.545;81.8;18.2;10.9;9.09;0.0182;France
64100852662;http://world-fr.openfoodfacts.org/produit/0064100852662/pringles-original;Pringles Original;Pringles;;;d;Chips et frites;879.0;;4.0;;0;1.0;2.0;2.2;France
65633279322;http://world-fr.openfoodfacts.org/produit/0065633279322/reese-puffs-cereals-general-mills;Reese Puffs Cereals;General mills;;;d;Petit-déjeuners;1750.0;9.68;1.61;77.4;29;3.23;6.45;1.64;France
67311048671;http://world-fr.openfoodfacts.org/produit/0067311048671/collection-nature-orange-framboise-fruit-de-la-passion-oasis;Collection Nature Orange Framboise Fruit de la Passion;Oasis;;;c;Jus de fruits 100% pur jus;201.0;;0.0;;11.2;0.0;0.0;0.008;France
814720;http://world-fr.openfoodfacts.org/produit/00814720/gluten-free-crumpets-marks-spencer;Gluten Free Crumpets;Marks & Spencer;Marks & Spencer;;c;Petit-déjeuners;905.0;2.8;0.6;44.1;4.5;2.0;2.1;1.4;France
84909104175;http://world-fr.openfoodfacts.org/produit/0084909104175/jus-de-coco-congele-cock-brand;Jus de coco congelé;Cock Brand,Marque Coq;Supermarché Asie;;c;Jus de fruits;201.0;0.7;0.5;10;10;;0.3;0.2;France
849364;http://world-fr.openfoodfacts.org/produit/00849364/granola-whole-grain-high-in-fibre-marks-spencer;Granola (whole grain & high in fibre);Marks & Spencer,Mark & Spencer;Mark & Spencer;Gluten,Lait,Fruits à coque,Arachides;a;Petit-déjeuners;1883.0;14.7;1.8;61;10.6;9.2;13.9;0.1;France
878098;http://world-fr.openfoodfacts.org/produit/00878098/bran-flakes-marks-spencer;Bran flakes;Marks & Spencer;Marks & Spencer;Fruits à coque,Arachides;c;Petit-déjeuners;1481.0;2.0;0.3;64.5;15.6;16.2;11.3;1.03;France
922661;http://world-fr.openfoodfacts.org/produit/00922661/pressed-pink-lady-apple-juice-mark-spencer;Pressed Pink Lady Apple Juice;Mark & Spencer;;;d;Jus de pomme;213.0;;0.1;;10.8;0.3;0.4;0.0299999999999999;France
942638;http://world-fr.openfoodfacts.org/produit/00942638/pressed-british-apple-juice-mark-spencer;Pressed british apple juice;Mark&Spencer;;;c;Jus de pomme;205.0;0.1;0.1;10.4;10.4;0.1;0.1;0.03;France
964395;http://world-fr.openfoodfacts.org/produit/00964395/honey-oat-breakfast-biscuits-marks-spencer;Honey & Oat Breakfast Biscuits;Marks & Spencer;Marks & Spencer;;a;Petit-déjeuners;1849.0;15.0;1.3;66.6;13.5;4.3;9.0;0.259999999999999;France
976015;http://world-fr.openfoodfacts.org/produit/00976015/chips-de-legumes-marks-spencer;Chips de légumes;Marks & Spencer;Marks & Spencer;;c;Chips et frites;2075.0;28.2;3.1;52;13.6;8.8;4.3;0.610000000000001;France
993739;http://world-fr.openfoodfacts.org/produit/00993739/spiced-british-apple-juice-mark-spencer;spiced British apple juice;Mark & Spencer;;;c;Jus de pomme;190.0;0.1;0.1;10.4;10.4;0.1;0.1;0.1;France
1082388;http://world-fr.openfoodfacts.org/produit/01082388/intense-appel-mango-juice-sainsbury-s;Intense Appel & Mango Juice;Sainsbury's;;;c;Jus de fruits 100% pur jus;192.0;;0.1;;8.6;0.5;0.5;0.08;France
1,62E+11;http://world-fr.openfoodfacts.org/produit/0161840002576/gout-nacho-cheese-10-gratuit-doritos;Goût Nacho Cheese (+10% gratuit);Doritos;;;;Chips et frites;;;;;;;;;France
2,01E+11;http://world-fr.openfoodfacts.org/produit/0201292018371/pain-chocolat-x-5-carrefour-city;Pain chocolat (x 5);Carrefour City;Carrefour City;Œufs,Fruits à coque,Derives-de-soja,Produits-laitiers;;Petit-déjeuners;;;;;;;;;France
2,02E+11;http://world-fr.openfoodfacts.org/produit/0202395009846/jus-orange-sanguine-leclerc;Jus Orange Sanguine;Leclerc;Leclerc;;c;Jus d'orange;187.0;0.0;0.0;8.3;8.3;;1.0;0;France
2,05E+11;http://world-fr.openfoodfacts.org/produit/0205004001439/flocons-d-avoine-vrac-bio-c-bon;Flocons d’avoine (vrac);Bio C Bon;;;a;Petit-déjeuners;1607.0;7.5;1.25;66.6;0.7;11.0;12.5;0.02;France
2,06E+11;http://world-fr.openfoodfacts.org/produit/0205545019351/pains-chocolat-beurre-x-8-leclerc;Pains chocolat beurre (x 8) - Leclerc;Leclerc;Leclerc;Œufs,Fruits à coque,Soja;;Petit-déjeuners;;;;;;;;;France
2,22E+11;http://world-fr.openfoodfacts.org/produit/0222226260345/jus-d-ananas-bio-vitamont;jus d'ananas bio;vitamont;Naturalia;;d;Jus de fruits 100% pur jus;223.0;0.5;0.1;13.2;11.9;0.5;0.5;0.002;France
2,28E+11;http://world-fr.openfoodfacts.org/produit/0227628013582/muesli-cereales-et-fruits-secs-biothentic;Muesli céréales et fruits secs;Biothentic;Carrefour;Graines de sésame,Soja;;Petit-déjeuners;1683.0;8.1;;66.2;;;10.3;;France
3,26E+11;http://world-fr.openfoodfacts.org/produit/0325798483058/100-pur-jus-orange-cora;100 % pur jus Orange;Cora;Cora;;c;Jus d'orange 100% pur jus;193.0;0.1;0.0;10.8;10;0.1;0.3;0.03;France
3,40E+12;http://world-fr.openfoodfacts.org/produit/03396111362012/chips-nature-sibell;Chips Nature;Sibell;;Gluten,Lait,Moutarde;d;Chips et frites;2305.0;36.0;3.1;50.7;0.4;;5.1;1.21;France
4124897;http://world-fr.openfoodfacts.org/produit/04124897/cereales-croquantes-caramel-et-chocolat-swing;Céréales CROQUANTES Caramel et Chocolat;Swing;Aldi;Fruits à coque,Arachides,Graines de sésame,Soja;c;Petit-déjeuners;1669.0;5.2;0.9;76;27;;8.4;0.43;France
4142218;http://world-fr.openfoodfacts.org/produit/04142218/pulco-citron-cuisine;Pulco citron cuisine ;Pulco,Polenghi;;;;Jus de fruits;82.5;0.02;;1.14;;;0.23;;France
4,21E+11;http://world-fr.openfoodfacts.org/produit/0421142781358/extra-kellogg-s;Extra;Kellogg's;;;;Petit-déjeuners;;;;;;;;;France
4,22E+11;http://world-fr.openfoodfacts.org/produit/0422142677887/pure-premium-clementine-100-pur-jus-tropicana;Pure premium Clémentine 100% pur jus;Tropicana;;;c;Jus de fruits;211.0;0.0;0.0;10.4;10.4;1.1;0.6;0;France
6,12E+11;http://world-fr.openfoodfacts.org/produit/0612114788257/grand-arome-poulain;Grand Arôme;Poulain,Mondelez international;Auchan;;e;Petit-déjeuners;1575.0;3.9;2.4;71;67;10.5;7.5;0.03;France
6,28E+11;http://world-fr.openfoodfacts.org/produit/0628154048831/bouchees-d-avoine-grillees-au-miel-post;Bouchées d'Avoine Grillées au Miel;Post;;;a;Petit-déjeuners;1670.0;5.0;0.667;83.3;20;6.67;6.67;0;France
6407014;http://world-fr.openfoodfacts.org/produit/06407014/all-bran-buds-kellogg-s;All-Bran Buds;Kellogg's,All Bran;;;b;Petit-déjeuners;1050.0;3.57;0.0;78.6;25;39.3;10.7;0.607;France
6,87E+11;http://world-fr.openfoodfacts.org/produit/0687456226033/cereales-granola-pomme-canelle-made-good;Cereales Granola Pomme Canelle;Made Good;;;b;Petit-déjeuners;1510.0;11.0;2.0;64;25;7.0;6.0;0.0299999999999999;France
7228179;http://world-fr.openfoodfacts.org/produit/07228179/croustillants-fruits-rouges-bjorg;Croustillants Fruits Rouges;Bjorg;;;;Petit-déjeuners;;;;;;;;;France
7,28E+11;http://world-fr.openfoodfacts.org/produit/0728229123811/mediterranean-chips-terra;Mediterranean chips;Terra;;;c;Chips et frites;2119.0;32.9;3.0;48.4;13.6;6.6;4.3;0.889;France
7,28E+11;http://world-fr.openfoodfacts.org/produit/0728229130444/stripes-blues-sea-salt-terra;Stripes & Blues Sea Salt;Terra;;;c;Chips et frites;2017.0;29.0;2.4;43;6.8;14.0;5.2;1;France
7283244;http://world-fr.openfoodfacts.org/produit/07283244/100-cacao-nestle-dessert;100 % cacao;Nestlé dessert;;;c;Petit-déjeuners;1603.0;21.0;13.0;17.3;0.4;28.0;18.1;0.3556;France
7,37E+11;http://world-fr.openfoodfacts.org/produit/0737282310700/cereales-croque-matin-chocolat-jordans;Céréales Croque-matin chocolat;Jordans;;;d;Petit-déjeuners;1987.0;18.0;7.5;;23;5.9;9.5;0.02286;France
8,15E+11;http://world-fr.openfoodfacts.org/produit/0814930010073/fruit-nuts-seeds-muesli-dorset-cereals;Fruit, Nuts & Seeds Muesli;Dorset cereals;;;c;Petit-déjeuners;1530.0;10.0;4.17;61.7;28.3;8.33;6.67;0.0847;France
8,33E+11;http://world-fr.openfoodfacts.org/produit/0832697000564/plantain-chips-pacific-sea-salt-samai;Plantain Chips Pacific sea salt;Samai;Cora;;d;Chips et frites;2239.0;32.1;14.3;60.7;7.1;7.1;1.0;1;France
8406615;http://world-fr.openfoodfacts.org/produit/08406615/100-pur-jus-orange-sanguine-de-sicile-casino;100% pur jus Orange Sanguine de Sicile;Casino;Casino;;c;Jus d'orange 100% pur jus;190.0;0.0;0.0;10.5;10.5;;0.7;0.02;France
8,55E+11;http://world-fr.openfoodfacts.org/produit/0854530004447/chicago-style-bagel-chips-sea-salt-hometown-bagel;Chicago Style Bagel Chips Sea Salt;Hometown Bagel;;Œufs,Lait,Fruits à coque;d;Chips et frites;1675.0;7.2;1.5;71.4;4.1;;13.5;3.2;France
8,83E+11;http://world-fr.openfoodfacts.org/produit/0883366000200/melange-de-cereales-granola-divin-fourmi-bionique;Mélange De Céréales Granola Divin;Fourmi bionique;;;a;Petit-déjeuners;920.0;;3.0;;18;8.0;12.0;0.1;France
1,01E+12;http://world-fr.openfoodfacts.org/produit/1013287767367/extra-pepites-4-noix-kellogg-s;Extra Pépites 4 Noix;Kellogg's,Extra;;Fruits à coque;d;Petit-déjeuners;2059.0;24.0;9.4;59;19;5.2;7.3;0.75;France
1,05E+12;http://world-fr.openfoodfacts.org/produit/1049040291718/cacao-rapunzel;Cacao;Rapunzel;côté nature;;;Petit-déjeuners;;;;;;;;;France
10908767;http://world-fr.openfoodfacts.org/produit/10908767/special-flakes-chocolate-crownfield;Special Flakes Chocolate;Crownfield,Lidl;Lidl;;c;Petit-déjeuners;1716.0;6.7;3.8;73;16.5;4.0;11.5;0.55;France
11218368;http://world-fr.openfoodfacts.org/produit/11218368/100-jus-d-orange-minute-maid;100 % Jus d'orange;Minute Maid;;;;Jus d'orange 100% pur jus;;;;;;;;;France
11254607;http://world-fr.openfoodfacts.org/produit/11254607/schovit;Schovit;Schovit,Aldi;Aldi;Lait,Soja;d;Petit-déjeuners;1600.0;3.1;1.4;79.9;78;6.3;4.5;0.5842;France
11914067;http://world-fr.openfoodfacts.org/produit/11914067/crusti-croc-classique-lidl;Crusti Croc Classique;Lidl;Lidl;Gluten,Lait,Moutarde;d;Chips et frites;2298.0;34.9;3.2;51.8;0.5;;5.3;1.2;France
1,20E+12;http://world-fr.openfoodfacts.org/produit/1201296720002/chips-salees-ikea;Chips salées;IKEA;Ikéa;;d;Chips et frites;2092.0;27.0;2.5;56;0.8;;8.3;1.3;France
12155697;http://world-fr.openfoodfacts.org/produit/12155697/jus-d-orange-pur-fruit;Jus d'Orange;Pur fruit;;;;Jus d'orange;;;;;;;;;France
12226787;http://world-fr.openfoodfacts.org/produit/12226787/lay-s-mediterraneenne-nature;Lay's Méditerranéenne Nature;Lay's,Pepsico;;;d;Chips et frites;2132.0;31.0;4.7;49;0.5;5.1;6.1;1.7;France
1,30E+12;http://world-fr.openfoodfacts.org/produit/1301416092405/cocktail-pomme-groseille-au-panier-fermier;Cocktail pomme groseille ;Au panier fermier;La Ruche Qui Dit Oui;;c;Jus de fruits 100% pur jus;175.0;0.02;0.01;9.9;9.1;;0.3;0.01;France
1,35E+12;http://world-fr.openfoodfacts.org/produit/1350278157838/orange-pamplemousse-a-la-framboise-monop-daily;Orange Pamplemousse à la Framboise;Monop'Daily,Monoprix;;;c;Jus de fruits;182.0;0.2;0.12;9.2;8.8;1.0;0.6;0.04;France
140510;http://world-fr.openfoodfacts.org/produit/140510/sarrasin-souffle%CC%81-au-miel-bio-famille-mary;Sarrasin Souffle? au Miel Bio;Famille Mary;;Lait,Fruits à coque,Arachides,Graines de sésame,Soja;c;Petit-déjeuners;1657.0;3.8;2.3;82;27.6;4.5;5.2;0.03;France
14227867;http://world-fr.openfoodfacts.org/produit/14227867/jus-de-citron-solevita;Jus de citron;Solevita;LIDL;;;Jus de fruits;;;;;;;;;France
1,60E+12;http://world-fr.openfoodfacts.org/produit/1603638610000/munsbit-vert-ikea;Munsbit Vert;Ikea;;;b;Jus de fruits;146.0;0.0;0.0;8;6.6;;0.7;0.04;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000001619/chips-saveur-foie-gras-sibell;Chips Saveur Foie Gras;Sibell;Monoprix;;d;Chips et frites;2248.0;34.0;3.0;51;1;4.7;5.0;1.89992;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000002450/jus-de-pomme-auchan;Jus de pomme;Auchan;Auchan;;;Jus de pomme;187.0;0.0;;11;;;0.0;;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000003271/frite-moyenne-quick;Frite moyenne;Quick;Quick;Céleri,Crustacés,Œufs,Poisson,Gluten,Lait,Moutarde,Fruits à coque,Graines de sésame,Soja;c;Chips et frites;1160.0;12.8;2.09;37.3;0;;3.36;0.0909;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000003754/petite-frite-mcdonald-s;Petite Frite;Mcdonald's,McCain;McDonald's;;a;Chips et frites;1250.0;15.0;1.3;36;0.4;3.8;3.8;0.499999999999999;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000003779/grande-deluxe-potatoes-mcdonald-s;Grande Deluxe Potatoes;Mcdonald's;McDonald's;;b;Chips et frites;814.0;8.8;0.9;25;0.3;2.8;3.5;1.1;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000003781/frites-moyenne-mcdonald-s;Frites Moyenne;McDonald's;McDonald's;;a;Chips et frites;1250.0;14.9;1.32;36.8;0.351;3.68;3.42;0.482;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000003788/minute-maid-30cl;Minute Maid (30cl) *;Minute Maid,Mcdonald's;McDonald's;;b;Jus d'orange à base de concentré;188.0;0.0;0.0;11;3.3;0.0;0.0;0;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000008252/pampryl-orange;Pampryl Orange;Pampryl;Le Veneur Noir;;c;Jus d'orange;193.0;0.0;0.0;10.6;9;0.0;0.8;0;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000009431/petit-dejeuner-instantane-tonimalt;Petit déjeuner instantané;Tonimalt;;;;Petit-déjeuners;;;;;;;;;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000009433/petit-dejeuner-instantane-tonimalt;Petit déjeuner instantané;Tonimalt;;;;Petit-déjeuners;;;;;;;;;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000010019/frites-grandes-salees-kfc;Frites Grandes salées;KFC;KFC;;b;Chips et frites;1200.0;13.6;1.43;35.7;0.714;2.86;4.29;0.714;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000010641/poudre-de-cacao-la-maison-du-chocolat;Poudre de Cacao;La Maison du Chocolat;;;;Petit-déjeuners;;;;;;;;;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000016505/grande-frite-mcdonald-s;Grande Frite;McDonald's;McDonald's;;a;Chips et frites;1249.0;15.0;1.3;37;0.3;3.7;3.4;0.48;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000017537/mon-jus-de-pomme-bio-pressade;Mon jus de pomme Bio;Pressade;Mcdonald's;;c;Jus de pomme;201.0;0.0;0.0;12;12;;0.0;0;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000018945/twister-fries-moyenne-portion-mcdonald-s;Twister Fries (moyenne portion);McDonald's;McDonald's;;c;Chips et frites;1111.0;14.0;1.2;31;2;2.5;3.7;2;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000020530/granola-sans-gluten-thank-you-my-deer;Granola Sans Gluten - Thank You My Deer;Thank You My Deer;Thank You My Deer;Fruits à coque,Noix-de-coco;;Petit-déjeuners;2004.0;20.41;;60.41;;;13.41;;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000021927/grand-premium-fries-moyenne-portion-mcdonald-s;Grand Premium Fries (moyenne portion);McDonald's;McDonald's;;b;Chips et frites;987.0;12.0;1.1;27;0;3.3;3.3;0.76;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000022177/jus-d-orange-goldhorn;Jus d'orange;Goldhorn;ALDI;;c;Jus d'orange à base de concentré;179.0;0.0;0.0;8.6;8.6;;0.7;0;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000024279/gerble-muesli-aux-fruits;Gerblé muesli aux fruits;Gerblé;;;a;Petit-déjeuners;1519.0;6.8;1.1;59;13;11.0;11.0;0.02;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000024280/crousti-muesli-fruits-rouges-gerble;Crousti Muesli Fruits Rouges;Gerblé;;;a;Petit-déjeuners;1690.0;10.0;1.1;61;8.2;13.0;11.0;0.56;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000024713/frites-moyenne-les-rustiques-quick;Frites Moyenne Les Rustiques;Quick;Quick;;c;Chips et frites;805.0;8.2;0.752;26.5;0.752;;3.08;1.2;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000026846/winter-fries-moyenne-portion-mcdonald-s;Winter fries (moyenne portion);McDonald's;McDonald's;;a;Chips et frites;983.0;12.0;1.5;27;0;3.6;3.6;0.8;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000032518/muesli-aux-fraises-travellunch;Muesli aux fraises;Travellunch;RCIR,Armée de Terre;;d;Petit-déjeuners;1565.0;6.1;1.0;62.8;28.2;;12.7;0.3;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000033526/muesli-fruits-rouges-grillon-d-or;Muesli fruits rouges;Grillon d'Or,Naturalia;Naturalia;;a;Petit-déjeuners;1531.0;3.9;0.8;69.5;9.9;10.2;8.2;0.02;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000034992/valcao-sagy;Valcao;Sagy;RCIR,Armée de Terre;Lait,Soja;e;Petit-déjeuners;1641.4;1.7;1.0;86.8;85.2;4.8;3.9;0;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000036030/frites-petite-burger-king;Frites (petite);Burger King;;;;Chips et frites;;;;;;;;;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000036031/frites-moyenne-burger-king;Frites (moyenne);Burger King;;;;Chips et frites;;;;;;;;;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000036032/frites-grande-burger-king;Frites (grande);Burger King;;;c;Chips et frites;1050.0;10.0;3.8;34.9;0.2;;3.4;0.9;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000036533/boisson-cacao-mama-ines;Boisson Cacao;Mama Inés;RCIR,Armée de Terre;;e;Petit-déjeuners;1613.5;2.0;1.04;87;61;;5.0;0.0125;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000042705/tablette-chocolat-noir-fourre-caramel-au-beurre-sale-a-la-fleur-de-sel-sans-marque;Tablette chocolat noir fourré caramel au beurre salé à la fleur de sel;Sans marque;La Trinitaine;;e;Petit-déjeuners;2050.0;26.0;16.0;60;47;5.2;5.8;0.18;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000043066/jus-de-pommes-le-p-tit-fausset;Jus de Pommes;Le p'tit Fausset;BOTANIC;;;Jus de pomme;;;;;;;;;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000043514/petales-aux-trois-cereales-nature-golden-bridge;Pétales aux trois céréales Nature;Golden Bridge;Aldi;Fruits à coque,Arachides,Graines de sésame,Soja;c;Petit-déjeuners;1573.0;1.3;0.2;80;10;;8.7;1.1;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000043520/tresor-max-krunch-kellogg-s;Trésor Max Krunch;Kellogg's;Cora;;d;Petit-déjeuners;1791.0;11.0;3.0;74;29;3.4;6.5;0.98;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000043521/coco-pops-pepites-multi-cereales-kellogg-s;Coco Pops Pépites multi-céréales;Kellogg's,Coco Pops;Cora;;b;Petit-déjeuners;1887.0;17.0;2.5;65;18;4.8;7.2;0.08;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000043894/harvest-basket-pommes-noisettes-1000gr;Harvest Basket - Pommes Noisettes - 1000gr ;Harvest Basket,Lidl;LIDL;;c;Chips et frites;715.0;5.5;0.7;26.5;2.5;;2.5;0.9;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000044300/clusters-crunchy-muesli-chocolat-au-lait-nestle;Clusters Crunchy Muesli Chocolat au lait ;Nestlé,Clusters;Super U;Fruits à coque,Soja;c;Petit-déjeuners;1782.0;12.2;3.1;67.4;24.4;7.6;7.8;0.33;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000044887/all-bran-chocolat-kellogg-s;All Bran Chocolat;Kellogg's,All Bran;;Fruits à coque;c;Petit-déjeuners;1661.0;9.0;6.0;64;19;10.0;10.0;0.02;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000045033/jumblies-chocolat-et-eclats-de-noisette-auchan;Jumblies Chocolat et Eclats de Noisette;Auchan,Jumblies;Auchan,Simply Market;Fruits à coque,Arachides,Graines de sésame,Soja;d;Petit-déjeuners;1766.0;14.0;3.1;68;42;4.0;6.0;0.508;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000045251/cereales-fourrees-fraise-gedis;Céréales fourrées Fraise;Gedis;;;;Petit-déjeuners;1636.0;3.0;0.5;83;24;1.5;7.1;;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000045558/crica-caramel-et-cacao-chabrior;Crica' Caramel et Cacao;Chabrior,Intermarché,Les Mousquetaires,Sélection Intermarché;Intermarché;Fruits à coque,Arachides;c;Petit-déjeuners;1833.0;13.6;2.5;69.4;33.9;4.3;7.2;0.16;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000045561/milkis-au-lait-carrefour-kids;Milkis au Lait;Carrefour Kids;Carrefour;;d;Petit-déjeuners;1828.0;13.0;7.0;69;36;3.0;9.0;0.33;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000045785/mon-jus-de-pomme-bio-mcdonald-s;Mon Jus de Pomme Bio;McDonald's,Pressade;McDonald's;;c;Jus de pomme;201.0;0.0;0.0;12;12;;0.0;0;France
2,00E+12;http://world-fr.openfoodfacts.org/produit/2000000053463/jus-de-pommes-l-arbre-a-pommes;Jus de Pommes;L'Arbre à Pommes, EARL Du Haut Plessis;;;;Jus de pomme;;;;;;;;;France
